_id,LOC_ID,LOC_NAME,AUSPICE,ADDRESS,PostalCode,bldg_type,BLDGNAME,IGSPACE,TGSPACE,PGSPACE,KGSPACE,SGSPACE,TOTSPACE,subsidy,cwelcc_flag,Longitude,Latitude
934,13943,The Neighbourhood Group Canoe Landing Before And After Program,Non Profit Agency,20 BRUNEL CRT,M5V,Public Elementary School,Jean Lumb Public School,0,0,0,130,150,280,Y,Y,-79.394275669,43.639270765
935,13947,The Neighbourhood Group Community Services Our Lady Of Lourdes,Non Profit Agency,444 SHERBOURNE ST,M4X,Catholic Elementary School,Our Lady Of Lourdes Catholic School,0,0,0,52,90,142,Y,Y,-79.37469556,43.666043493
936,13948,Aboriginal Head Start - Epnigishmok,Non Profit Agency,20 BANSLEY AVE,M6E,Other,,0,0,16,0,0,16,N,N,-79.4429148435,43.6922642125
937,13953,Kids & Company King And Highline,Commercial Agency,1100 KING ST W,M6K,Other,,20,30,24,0,0,74,N,Y,-79.422240833,43.640120672
938,13954,Queen's Park Child Care Centre,Non Profit Agency,7 QUEENS PARK CRES E,M7A,Other,,10,30,48,0,0,88,Y,Y,-79.389605645,43.661021036
939,13957,Discovering Minds Montessori Preschool Inc.,Commercial Agency,828 RICHMOND ST W,M6J,Other,,0,0,37,0,0,37,N,N,-79.411318404,43.644830859
940,13963,Kids & Company Queen West,Commercial Agency,308 QUEEN ST W,M5V,Other,,30,45,32,0,0,107,N,Y,-79.393926709,43.649645376
941,13982,Plasp St. Louis C.S.,Non Profit Agency,11 MORGAN AVE,M8Y,Catholic Elementary School,St. Louis Catholic School,0,0,0,13,30,43,Y,Y,-79.5009586586,43.6257536986
942,13983,Plasp Sts. Cosmas And Damian C.S,Non Profit Agency,111 DANESBURY AVE,M6B,Catholic Elementary School,St. Cosmas And Damian Catholic School,0,0,0,13,30,43,Y,Y,-79.444425892,43.706934228
943,13984,Plasp St. Simon C.S.,Non Profit Agency,24 STRATHBURN BLVD,M9M,Catholic Elementary School,St. Simon Catholic School,0,0,0,13,30,43,Y,Y,-79.532976161,43.718862096
944,13993,Columbus Early Learning Centres - St Charles,Non Profit Agency,50 CLAVER AVE,M6B,Catholic Elementary School,St Charles Catholic School,0,0,0,26,45,71,Y,Y,-79.4513539548,43.7132904861
945,14000,Macaulay - St. Andre Child Care Centre,Non Profit Agency,36 YVONNE AVE,M3L,Catholic Elementary School,St. Andre Catholic School,0,0,0,52,30,82,Y,Y,-79.517861124,43.724023325
946,14130,Cambridge Leaf Montessori School,Commercial Agency,3875 MCNICOLL AVE,M1X,Other,,0,28,30,0,0,58,N,N,-79.236946595,43.826170831
947,14141,Avondale Centre For Early Development,Non Profit Agency,171 AVONDALE AVE,M2N,Other,Avondale Public School,10,30,32,0,0,72,Y,Y,-79.400002094,43.759678414
948,14142,Kinder Grove St. Clair,Commercial Agency,94 VAUGHAN RD,M6C,Other,,10,15,16,0,0,41,N,N,-79.4213521091,43.6835658951
949,14157,Buds And Blossoms,Commercial Agency,517 PARLIAMENT ST,M4X,Other,,0,8,16,0,24,48,N,Y,-79.368009349,43.665250296
950,14167,Brightpath Academy - Forest Hill,Commercial Agency,5 GLEN PARK AVE,M6B,Place of Worship,,10,30,32,0,0,72,N,Y,-79.4294297478,43.7127678379
951,14170,Top Mandarin Daycare Centre-2,Commercial Agency,4271 SHEPPARD AVE E,M1S,Commercial Building,Cathay Plaza,0,10,24,0,0,34,N,Y,-79.2756602038,43.7855379462
952,14195,Mothercraft Midtown Ced,Non Profit Agency,44 LILLIAN ST,M4S,Other,,10,10,32,0,0,52,Y,Y,-79.393735289,43.705786822
953,14196,Atelier Kids Inc.,Commercial Agency,15 OAKMOUNT RD,M6P,Other,,0,30,46,0,0,76,N,N,-79.4622754521,43.6548413861
954,14199,Montessori Villa Wisdom Inc.,Commercial Agency,231 MILNER AVE,M1S,Commercial Building,,0,15,32,11,0,58,N,Y,-79.238701806,43.78862098
955,14206,Small World Big Dreams Child Care Centre Inc.,Commercial Agency,1085 MIDLAND AVE,M1K,Commercial Building,,0,10,16,0,0,26,N,Y,-79.261005736,43.742387901
956,14207,Ma Premiere Ecole,Commercial Agency,2383 QUEEN ST E,M4E,Other,,0,0,28,0,0,28,N,N,-79.287145869,43.672594441
957,14208,Little Giants Childcare Centre Inc.,Commercial Agency,50 FOREST MANOR RD,M2J,Other,,0,23,35,0,0,58,N,Y,-79.345394338,43.772796265
958,14211,Chabad Lubavitch Of York Mills,Non Profit Agency,2437 BAYVIEW AVE,M2L,Synagogue,Bayview Hebrew School,10,15,24,0,0,49,N,Y,-79.3816408175,43.7392053025
959,14212,Absorbent Years Childcare Inc,Commercial Agency,128 FAIRVIEW MALL DR,M2J,Other,,0,10,22,0,0,32,N,N,-79.344920512,43.779923291
